Last Avg Tensiometer,Predicted Avg Tensiometer,Predicted Rain Amount,Predicted Max Temperature,Decision
519,237,-1,29,Not Recommended
727,462,24,27,Half Turn
471,498,1,33,Single Turn
466,306,31,31,Not Recommended
415,507,5,27,Half Turn
646,300,20,26,Not Recommended
591,774,24,24,Not Recommended
332,851,30,27,Single Turn
501,529,1,34,Single Turn
674,561,11,29,Double Turn
597,384,27,23,Not Recommended
601,467,-1,31,Not Recommended
519,479,23,25,Not Recommended
767,641,16,29,Not Recommended
494,758,3,30,Not Recommended
544,210,0,26,Single Turn
717,624,15,32,Half Turn
537,557,28,27,Half Turn
410,608,8,37,Half Turn
793,639,22,29,Half Turn
747,542,21,31,Double Turn
677,97,21,26,Not Recommended
644,747,20,32,Double Turn
515,386,17,24,Half Turn
570,455,13,30,Half Turn
479,861,13,25,Single Turn
622,419,29,29,Single Turn
539,689,27,26,Double Turn
588,676,20,27,Double Turn
800,724,1,25,Single Turn
712,567,0,29,Not Recommended
639,705,2,25,Half Turn
764,544,29,26,Not Recommended
601,547,0,24,Double Turn
702,428,3,31,Single Turn
656,332,13,28,Half Turn
642,389,3,26,Not Recommended
746,382,3,28,Not Recommended
463,472,0,37,Not Recommended
648,536,2,27,Not Recommended
606,507,-3,28,Single Turn
658,744,9,28,Single Turn
668,683,-1,29,Not Recommended
699,558,14,31,Single Turn
693,420,1,30,Not Recommended
557,517,10,20,Double Turn
219,721,3,29,Single Turn
789,560,18,28,Half Turn
653,497,3,27,Not Recommended
586,549,7,33,Double Turn
527,637,0,28,Half Turn
743,448,4,25,Not Recommended
799,510,9,26,Not Recommended
783,628,2,24,Not Recommended
422,490,2,27,Not Recommended
283,349,0,28,Single Turn
527,456,2,28,Not Recommended
704,656,24,29,Half Turn
542,727,19,21,Not Recommended
600,371,15,24,Not Recommended
314,767,12,26,Not Recommended
610,503,3,27,Not Recommended
571,455,2,30,Not Recommended
427,341,3,29,Half Turn
658,397,1,26,Not Recommended
436,399,14,29,Single Turn
647,496,24,22,Single Turn
681,169,3,33,Single Turn
663,375,1,25,Single Turn
556,573,17,37,Half Turn
487,508,-2,24,Double Turn
561,585,-2,29,Half Turn
730,615,-1,32,Double Turn
685,216,5,30,Not Recommended
456,582,1,30,Half Turn
391,331,27,30,Not Recommended
463,521,2,26,Not Recommended
608,615,26,36,Half Turn
767,453,9,25,Half Turn
519,383,15,34,Half Turn
651,507,2,28,Single Turn
654,494,-1,24,Half Turn
725,509,1,28,Single Turn
429,608,29,31,Not Recommended
639,354,1,26,Single Turn
803,374,15,19,Half Turn
693,-52,0,29,Half Turn
460,491,1,29,Not Recommended
641,540,20,28,Double Turn
575,509,8,25,Half Turn
728,602,13,28,Not Recommended
699,703,1,32,Double Turn
572,602,23,33,Single Turn
528,511,1,33,Half Turn
659,482,2,30,Double Turn
634,770,23,28,Single Turn
789,695,3,21,Single Turn
699,462,13,25,Not Recommended
667,372,3,23,Half Turn
529,450,25,27,Half Turn
698,78,30,24,Not Recommended
569,500,16,28,Single Turn
598,621,3,27,Single Turn
570,561,20,29,Half Turn
793,210,22,31,Half Turn
555,570,1,25,Not Recommended
620,347,25,26,Not Recommended
514,715,25,20,Single Turn
299,539,0,31,Not Recommended
560,572,2,20,Half Turn
751,661,25,32,Single Turn
533,427,3,29,Single Turn
762,594,1,25,Half Turn
679,515,2,24,Double Turn
606,518,25,28,Single Turn
730,320,3,28,Double Turn
652,689,1,23,Single Turn
473,765,-1,30,Half Turn
492,584,25,19,Not Recommended
750,806,12,25,Not Recommended
708,848,2,33,Double Turn
485,467,26,30,Single Turn
550,412,11,28,Half Turn
517,496,2,28,Half Turn
697,491,0,30,Not Recommended
504,531,0,36,Half Turn
756,232,3,27,Half Turn
457,731,0,30,Double Turn
636,542,9,26,Not Recommended
687,565,3,27,Single Turn
204,699,21,31,Half Turn
731,562,20,34,Double Turn
629,753,2,27,Single Turn
492,723,-2,35,Single Turn
452,390,2,27,Double Turn
612,427,16,20,Single Turn
821,476,2,26,Half Turn
759,478,1,26,Double Turn
703,385,2,22,Half Turn
780,537,24,27,Not Recommended
286,451,11,30,Single Turn
564,258,2,27,Single Turn
446,457,2,33,Double Turn
681,645,11,23,Not Recommended
637,751,20,26,Double Turn
498,416,24,27,Not Recommended
654,511,2,28,Single Turn
476,621,3,27,Not Recommended
612,476,17,21,Not Recommended
737,347,2,28,Not Recommended
416,372,8,29,Not Recommended
739,552,25,25,Double Turn
711,349,23,21,Single Turn
698,148,29,26,Double Turn
729,354,1,28,Double Turn
552,587,18,29,Not Recommended
503,473,5,33,Single Turn
686,546,23,28,Half Turn
733,159,27,26,Double Turn
568,406,4,33,Single Turn
404,648,0,28,Double Turn
746,535,10,23,Single Turn
691,390,18,29,Single Turn
695,118,25,33,Double Turn
743,402,8,30,Single Turn
677,521,9,33,Half Turn
637,495,-2,29,Not Recommended
743,415,18,28,Half Turn
705,407,3,21,Single Turn
578,449,28,25,Not Recommended
467,469,25,35,Half Turn
560,602,16,27,Half Turn
336,461,19,32,Single Turn
403,608,8,31,Half Turn
236,591,19,32,Half Turn
475,608,12,22,Single Turn
594,665,21,26,Not Recommended
768,755,2,27,Not Recommended
616,582,25,30,Not Recommended
696,810,18,32,Single Turn
132,518,23,28,Single Turn
450,728,-1,33,Not Recommended
413,689,12,29,Not Recommended
657,740,14,24,Half Turn
648,451,17,26,Double Turn
737,715,1,30,Half Turn
481,818,-1,22,Single Turn
527,498,19,34,Half Turn
715,439,17,22,Not Recommended
448,776,23,27,Half Turn
672,327,2,22,Half Turn
428,618,-1,33,Half Turn
554,851,1,24,Half Turn
705,414,3,26,Half Turn
775,591,-4,29,Double Turn
730,664,2,30,Half Turn
343,672,2,37,Half Turn
569,517,8,25,Half Turn
595,542,1,20,Single Turn
486,472,24,28,Not Recommended
774,430,26,26,Double Turn
564,591,11,20,Not Recommended
629,619,10,31,Double Turn
674,527,1,23,Single Turn
599,798,24,25,Double Turn
334,488,-1,34,Not Recommended
735,792,0,29,Single Turn
635,380,0,29,Not Recommended
726,154,0,25,Single Turn
696,115,15,27,Not Recommended
515,663,0,31,Single Turn
733,359,9,26,Not Recommended
759,485,9,24,Not Recommended
354,474,1,29,Half Turn
641,515,2,25,Half Turn
602,538,14,28,Single Turn
669,434,2,30,Single Turn
586,334,19,32,Not Recommended
575,538,3,26,Single Turn
613,804,0,31,Not Recommended
411,581,1,33,Not Recommended
697,449,24,26,Half Turn
554,370,20,27,Not Recommended
472,577,32,32,Half Turn
581,448,-1,34,Half Turn
708,474,1,28,Not Recommended
583,447,25,25,Not Recommended
548,563,0,31,Not Recommended
679,779,1,31,Half Turn
708,517,2,26,Double Turn
252,479,29,22,Half Turn
689,467,3,28,Single Turn
703,641,3,28,Not Recommended
673,309,29,24,Double Turn
623,484,26,27,Half Turn
660,335,26,29,Not Recommended
692,513,3,27,Not Recommended
577,297,2,27,Double Turn
481,474,3,27,Not Recommended
290,576,-2,29,Not Recommended
702,497,0,32,Not Recommended
702,593,14,23,Single Turn
390,405,31,25,Single Turn
718,545,17,26,Single Turn
706,529,10,31,Not Recommended
659,683,5,26,Single Turn
615,389,23,27,Half Turn
258,689,4,29,Half Turn
752,519,1,21,Half Turn
738,467,2,32,Single Turn
702,341,1,30,Single Turn
597,576,9,29,Single Turn
727,471,0,27,Double Turn
522,502,22,31,Half Turn
337,357,25,29,Double Turn
657,443,24,32,Half Turn
619,537,16,26,Double Turn
626,505,1,29,Single Turn
638,673,3,24,Half Turn
228,461,2,31,Single Turn
745,304,0,24,Single Turn
701,629,15,25,Single Turn
486,396,23,24,Not Recommended
800,192,2,20,Half Turn
568,776,16,28,Half Turn
730,281,31,27,Half Turn
501,595,31,35,Not Recommended
528,429,11,27,Not Recommended
517,385,1,31,Single Turn
648,297,2,32,Not Recommended
607,327,0,29,Not Recommended
317,581,3,26,Half Turn
759,438,3,27,Not Recommended
625,419,18,24,Single Turn
610,306,25,26,Not Recommended
480,174,2,26,Half Turn
617,760,3,30,Half Turn
556,200,0,26,Not Recommended
535,167,20,29,Single Turn
581,680,23,32,Not Recommended
556,177,1,28,Not Recommended
600,537,1,26,Half Turn
471,306,1,21,Single Turn
375,619,28,25,Single Turn
732,637,19,24,Not Recommended
632,522,0,30,Single Turn
757,499,-2,35,Not Recommended
511,777,21,27,Double Turn
158,740,1,29,Not Recommended
698,562,19,33,Not Recommended
246,607,9,28,Not Recommended
531,812,12,32,Single Turn
391,491,24,26,Not Recommended
439,672,15,29,Not Recommended
547,200,1,31,Double Turn
485,119,2,29,Not Recommended
740,471,28,29,Not Recommended
557,317,0,34,Half Turn
409,465,10,27,Double Turn
606,785,14,27,Single Turn
444,162,3,36,Half Turn
400,520,0,23,Not Recommended
683,523,2,27,Double Turn
716,628,8,20,Single Turn
630,577,9,31,Not Recommended
574,534,17,31,Single Turn
451,801,3,33,Single Turn
509,315,21,28,Half Turn
684,424,7,27,Not Recommended
439,75,3,25,Not Recommended
487,618,12,26,Not Recommended
721,551,3,28,Not Recommended
697,369,0,26,Double Turn
311,782,21,28,Half Turn
373,380,20,22,Single Turn
734,213,3,25,Single Turn
554,604,4,35,Double Turn
666,464,2,34,Double Turn
686,654,1,26,Not Recommended
691,470,0,32,Single Turn
447,257,24,28,Single Turn
595,849,18,25,Not Recommended
581,393,12,24,Not Recommended
602,878,13,32,Double Turn
570,532,-1,29,Single Turn
428,401,-1,26,Half Turn
775,508,2,28,Half Turn
754,803,18,23,Not Recommended
716,399,25,33,Half Turn
701,815,1,29,Not Recommended
666,514,24,20,Double Turn
582,457,-7,32,Not Recommended
726,769,13,32,Half Turn
439,762,17,27,Double Turn
669,334,2,27,Not Recommended
700,498,0,25,Not Recommended
797,565,15,31,Double Turn
814,447,0,29,Not Recommended
302,58,24,27,Not Recommended
305,448,0,26,Single Turn
462,527,5,35,Half Turn
666,621,22,28,Not Recommended
387,902,3,27,Not Recommended
461,570,0,28,Single Turn
585,566,2,32,Single Turn
595,287,1,33,Half Turn
588,697,21,26,Single Turn
694,462,2,25,Not Recommended
770,506,3,21,Not Recommended
569,464,13,29,Not Recommended
527,444,5,27,Not Recommended
702,726,18,26,Not Recommended
708,685,14,23,Half Turn
636,294,30,25,Single Turn
625,447,0,28,Not Recommended
702,499,22,26,Double Turn
493,711,0,27,Half Turn
587,671,23,31,Double Turn
346,304,6,22,Not Recommended
653,354,4,26,Not Recommended
746,516,23,28,Half Turn
765,864,3,22,Single Turn
561,569,22,25,Not Recommended
506,870,13,25,Not Recommended
485,519,0,28,Half Turn
685,566,26,20,Single Turn
503,482,-2,28,Double Turn
387,709,27,30,Double Turn
729,448,3,23,Double Turn
515,362,18,19,Single Turn
712,257,0,20,Single Turn
711,727,3,25,Not Recommended
647,684,5,28,Not Recommended
652,907,24,27,Not Recommended
711,382,28,20,Not Recommended
671,675,27,25,Not Recommended
554,497,1,29,Not Recommended
515,493,8,22,Double Turn
788,502,31,25,Half Turn
675,455,2,30,Double Turn
762,625,-1,26,Half Turn
635,412,2,26,Not Recommended
785,644,24,27,Single Turn
675,581,28,21,Double Turn
687,539,-1,29,Not Recommended
675,338,1,30,Single Turn
578,505,-2,28,Double Turn
760,435,23,24,Not Recommended
515,393,13,24,Single Turn
580,531,3,25,Single Turn
452,580,2,26,Double Turn
719,486,24,31,Not Recommended
651,468,1,26,Double Turn
592,566,26,33,Half Turn
777,473,1,28,Double Turn
706,543,2,27,Single Turn
424,501,0,30,Half Turn
604,451,12,29,Single Turn
610,486,-1,34,Half Turn
695,444,8,27,Not Recommended
781,713,-3,29,Half Turn
563,593,6,32,Double Turn
707,569,6,20,Not Recommended
730,542,24,29,Half Turn
539,492,0,23,Single Turn
457,565,10,28,Not Recommended
612,895,0,29,Double Turn
699,344,1,26,Not Recommended
536,776,4,24,Not Recommended
674,549,2,28,Half Turn
548,524,2,27,Half Turn
671,561,2,24,Not Recommended
754,565,10,33,Half Turn
502,534,8,28,Half Turn
328,519,15,37,Not Recommended
463,527,24,23,Not Recommended
691,77,3,30,Single Turn
517,503,2,31,Not Recommended
377,478,27,31,Double Turn
364,692,18,30,Not Recommended
451,685,2,20,Single Turn
602,273,25,30,Double Turn
438,441,-1,26,Single Turn
291,583,25,28,Half Turn
429,110,2,36,Single Turn
783,307,1,29,Not Recommended
728,477,-1,26,Not Recommended
628,248,5,24,Not Recommended
568,388,2,33,Half Turn
464,512,3,29,Not Recommended
584,393,2,22,Half Turn
686,394,26,17,Single Turn
374,405,3,27,Single Turn
729,829,1,25,Double Turn
700,475,21,28,Not Recommended
596,484,3,27,Not Recommended
535,410,13,31,Single Turn
760,608,26,26,Single Turn
618,301,24,35,Double Turn
676,498,3,26,Single Turn
353,295,26,27,Not Recommended
584,298,1,26,Double Turn
510,409,3,32,Not Recommended
582,477,5,29,Not Recommended
676,414,3,24,Single Turn
623,696,18,21,Half Turn
662,547,3,30,Half Turn
259,523,6,26,Single Turn
184,482,24,27,Not Recommended
629,819,26,30,Not Recommended
603,239,0,34,Single Turn
612,465,10,28,Double Turn
453,407,0,37,Single Turn
772,552,0,19,Double Turn
660,513,1,26,Single Turn
460,482,1,30,Double Turn
593,414,25,29,Not Recommended
675,464,15,34,Not Recommended
709,552,0,32,Half Turn
688,712,2,32,Single Turn
227,437,23,29,Not Recommended
503,649,-2,28,Half Turn
348,458,15,24,Double Turn
319,377,3,32,Single Turn
604,336,1,26,Not Recommended
311,509,11,24,Single Turn
387,506,-1,24,Single Turn
679,381,0,24,Double Turn
687,811,0,34,Not Recommended
664,368,2,26,Not Recommended
241,547,29,27,Not Recommended
614,476,25,28,Half Turn
657,319,29,30,Not Recommended
443,519,0,32,Half Turn
758,298,12,28,Not Recommended
389,539,6,27,Not Recommended
734,557,20,28,Single Turn
719,671,12,28,Not Recommended
656,459,1,24,Single Turn
789,523,-2,26,Not Recommended
553,730,14,28,Not Recommended
762,316,17,25,Not Recommended
571,292,22,27,Half Turn
567,586,2,26,Half Turn
376,550,9,31,Single Turn
459,747,0,33,Half Turn
681,243,7,34,Single Turn
444,609,3,30,Double Turn
535,380,8,36,Not Recommended
533,675,22,33,Single Turn
191,748,2,25,Single Turn
581,573,11,24,Double Turn
769,598,0,29,Single Turn
750,434,18,32,Not Recommended
518,738,28,22,Double Turn
221,598,27,26,Half Turn
232,327,15,29,Half Turn
756,343,24,31,Single Turn
624,502,2,23,Not Recommended
612,418,25,25,Single Turn
671,549,2,32,Not Recommended
687,625,0,28,Not Recommended
570,765,17,24,Half Turn
497,564,0,27,Not Recommended
572,567,23,32,Half Turn
709,737,2,25,Not Recommended
712,701,26,26,Not Recommended
619,484,2,21,Not Recommended
643,652,10,27,Not Recommended
747,563,-2,29,Single Turn
594,678,-2,26,Double Turn
733,519,28,26,Double Turn
618,523,12,29,Half Turn
744,171,-2,31,Single Turn
660,414,0,20,Single Turn
804,476,3,28,Double Turn
521,452,1,22,Not Recommended
650,850,11,29,Half Turn
628,440,9,25,Half Turn
601,462,1,24,Single Turn
729,524,25,29,Half Turn
450,411,28,34,Not Recommended
446,473,20,27,Single Turn
568,430,13,29,Single Turn
605,523,-2,28,Single Turn
484,441,18,22,Half Turn
661,690,4,19,Half Turn
477,776,2,21,Half Turn
466,812,6,34,Not Recommended
524,469,7,24,Half Turn
689,493,9,25,Not Recommended
682,728,1,25,Single Turn
689,708,29,27,Not Recommended
688,387,28,27,Not Recommended
430,548,-1,32,Half Turn
627,374,-1,26,Single Turn
266,392,23,27,Half Turn
579,396,31,30,Double Turn
537,787,1,31,Single Turn
637,511,3,24,Not Recommended
598,711,-1,24,Not Recommended
620,713,24,26,Not Recommended
473,442,13,28,Double Turn
444,510,10,27,Not Recommended
455,456,2,28,Single Turn
519,395,17,30,Half Turn
821,514,0,24,Single Turn
471,517,28,26,Half Turn
402,438,14,23,Double Turn
566,327,12,30,Single Turn
720,837,0,28,Single Turn
726,785,1,24,Not Recommended
666,550,-1,29,Double Turn
668,502,18,33,Not Recommended
721,679,12,26,Half Turn
762,310,18,24,Single Turn
524,438,8,29,Not Recommended
711,634,3,32,Not Recommended
797,375,16,22,Not Recommended
402,370,26,28,Not Recommended
742,319,13,31,Double Turn
760,297,1,27,Double Turn
521,259,28,26,Single Turn
549,776,15,30,Not Recommended
551,225,24,35,Not Recommended
108,351,3,27,Not Recommended
772,745,12,21,Double Turn
763,681,3,28,Single Turn
647,426,7,20,Not Recommended
286,652,1,29,Not Recommended
399,508,13,35,Single Turn
709,301,2,27,Single Turn
725,104,14,31,Not Recommended
543,564,-1,36,Single Turn
472,624,0,32,Single Turn
724,564,3,28,Not Recommended
780,577,2,29,Double Turn
712,524,2,36,Double Turn
609,439,26,28,Single Turn
710,852,0,22,Single Turn
748,394,7,26,Not Recommended
539,394,16,29,Single Turn
599,478,18,28,Half Turn
782,233,3,26,Not Recommended
740,495,2,31,Double Turn
636,498,18,26,Half Turn
542,567,1,31,Not Recommended
378,601,1,28,Single Turn
403,511,2,29,Not Recommended
729,526,15,22,Half Turn
507,545,1,26,Single Turn
602,376,1,25,Not Recommended
645,407,18,25,Not Recommended
645,463,2,31,Half Turn
576,356,5,28,Half Turn
778,632,6,27,Single Turn
668,498,22,28,Double Turn
562,415,28,26,Not Recommended
318,383,22,32,Not Recommended
623,886,23,25,Not Recommended
173,510,0,34,Not Recommended
643,305,16,24,Not Recommended
452,698,14,31,Single Turn
496,452,14,32,Double Turn
477,205,22,26,Single Turn
649,734,16,28,Double Turn
720,365,2,35,Half Turn
644,765,12,30,Not Recommended
585,787,18,29,Not Recommended
739,620,6,26,Single Turn
617,431,29,30,Half Turn
655,453,18,25,Double Turn
326,176,2,25,Half Turn
650,706,-1,21,Half Turn
716,572,1,31,Not Recommended
616,371,30,27,Not Recommended
461,445,21,33,Single Turn
159,232,2,23,Half Turn
651,694,3,29,Single Turn
701,431,24,28,Not Recommended
482,776,20,26,Double Turn
451,396,17,20,Half Turn
520,350,19,31,Not Recommended
571,326,1,33,Double Turn
693,625,-1,23,Not Recommended
672,550,2,26,Not Recommended
740,545,23,22,Half Turn
627,505,3,24,Single Turn
473,501,11,31,Not Recommended
613,559,21,26,Not Recommended
362,742,3,26,Double Turn
517,517,7,27,Single Turn
599,439,3,26,Half Turn
766,448,23,22,Single Turn
549,536,28,36,Single Turn
775,368,24,21,Half Turn
742,883,28,28,Not Recommended
490,366,-1,27,Single Turn
621,424,3,25,Not Recommended
411,528,1,33,Half Turn
812,504,0,29,Not Recommended
414,666,4,27,Not Recommended
488,335,2,29,Not Recommended
495,422,2,28,Single Turn
567,551,17,21,Not Recommended
637,541,3,27,Not Recommended
711,540,32,28,Double Turn
533,457,0,26,Not Recommended
430,554,0,29,Half Turn
368,630,-1,21,Half Turn
585,393,3,29,Double Turn
588,514,26,28,Half Turn
342,369,28,27,Single Turn
670,640,-1,26,Single Turn
362,247,19,27,Half Turn
736,14,21,28,Not Recommended
349,476,-1,29,Double Turn
455,156,0,29,Half Turn
589,529,25,34,Double Turn
772,519,3,25,Not Recommended
310,720,1,29,Single Turn
677,491,13,30,Not Recommended
687,834,10,28,Single Turn
721,590,14,22,Not Recommended
477,554,21,25,Double Turn
657,637,3,28,Single Turn
469,489,11,26,Not Recommended
758,448,10,29,Not Recommended
637,663,2,23,Not Recommended
696,481,1,20,Half Turn
432,793,13,29,Not Recommended
364,442,3,30,Not Recommended
346,306,12,33,Half Turn
425,397,22,30,Not Recommended
721,638,23,30,Not Recommended
733,530,25,33,Double Turn
662,419,3,25,Not Recommended
286,571,2,24,Half Turn
764,506,-1,34,Double Turn
724,384,19,30,Single Turn
618,366,-1,28,Half Turn
413,496,15,29,Single Turn
717,676,3,31,Half Turn
788,560,29,23,Not Recommended
446,494,2,27,Not Recommended
589,554,1,27,Not Recommended
476,448,10,29,Single Turn
747,379,1,32,Not Recommended
532,452,3,26,Half Turn
485,707,0,29,Not Recommended
679,438,1,22,Half Turn
526,500,0,32,Not Recommended
464,684,3,25,Single Turn
534,808,13,35,Half Turn
548,572,1,26,Half Turn
350,256,0,26,Half Turn
563,623,0,26,Not Recommended
569,596,1,23,Not Recommended
775,225,0,28,Double Turn
547,-47,2,23,Single Turn
537,784,17,25,Half Turn
591,550,-3,36,Not Recommended
693,472,24,28,Not Recommended
665,710,3,26,Double Turn
591,667,3,22,Half Turn
471,299,15,20,Single Turn
646,95,2,21,Single Turn
689,444,12,22,Single Turn
715,552,20,28,Not Recommended
511,822,2,20,Not Recommended
713,649,16,30,Double Turn
649,616,-1,33,Half Turn
636,455,16,26,Half Turn
671,510,2,29,Single Turn
650,510,21,27,Double Turn
637,540,3,24,Double Turn
370,571,0,31,Not Recommended
677,507,1,35,Not Recommended
676,548,1,35,Half Turn
603,584,14,30,Not Recommended
504,543,-1,29,Not Recommended
443,457,6,25,Double Turn
522,540,2,25,Not Recommended
715,385,23,27,Double Turn
707,539,3,26,Single Turn
630,580,28,37,Half Turn
734,530,4,26,Not Recommended
642,636,-1,19,Double Turn
815,660,15,31,Half Turn
632,507,8,25,Not Recommended
703,316,-1,35,Half Turn
581,453,0,31,Half Turn
751,750,4,27,Double Turn
592,366,2,23,Half Turn
431,502,0,26,Not Recommended
429,556,0,35,Not Recommended
686,484,4,31,Single Turn
618,752,2,33,Not Recommended
721,473,3,24,Half Turn
684,520,1,27,Not Recommended
530,529,4,28,Single Turn
356,439,17,25,Single Turn
735,443,2,24,Not Recommended
479,54,4,26,Double Turn
648,575,1,24,Not Recommended
716,342,17,22,Not Recommended
623,519,17,35,Single Turn
633,528,2,25,Double Turn
680,284,2,34,Not Recommended
732,301,3,24,Half Turn
672,493,21,26,Not Recommended
786,127,12,29,Single Turn
578,805,2,26,Not Recommended
534,533,10,26,Single Turn
755,626,0,23,Single Turn
530,414,1,29,Not Recommended
518,670,2,29,Half Turn
447,678,0,25,Single Turn
649,785,2,30,Single Turn
736,714,9,31,Not Recommended
478,656,-1,28,Double Turn
639,648,17,32,Single Turn
752,463,23,26,Not Recommended
681,545,1,32,Not Recommended
488,580,20,27,Not Recommended
512,728,17,29,Half Turn
537,521,0,21,Half Turn
168,707,1,22,Single Turn
739,641,-1,27,Not Recommended
651,361,5,33,Single Turn
785,196,4,28,Half Turn
458,547,1,24,Single Turn
614,474,12,34,Not Recommended
734,507,3,23,Single Turn
194,718,2,31,Not Recommended
644,-8,5,23,Half Turn
447,650,19,32,Half Turn
645,725,1,30,Half Turn
689,582,2,26,Not Recommended
568,357,1,24,Double Turn
450,492,2,22,Single Turn
682,519,3,30,Single Turn
748,217,22,27,Double Turn
236,597,1,29,Not Recommended
702,524,-1,30,Half Turn
730,545,15,25,Double Turn
759,725,2,25,Half Turn
697,664,12,26,Double Turn
785,745,26,22,Single Turn
673,444,13,25,Double Turn
459,668,0,24,Half Turn
681,414,24,22,Not Recommended
567,548,12,28,Single Turn
773,649,29,21,Not Recommended
659,437,27,28,Not Recommended
598,739,18,29,Not Recommended
480,727,19,30,Half Turn
658,721,9,31,Single Turn
458,439,3,28,Half Turn
532,481,17,32,Not Recommended
801,499,2,30,Half Turn
648,290,16,36,Not Recommended
322,553,2,33,Half Turn
718,283,27,26,Single Turn
384,511,22,27,Single Turn
607,504,3,19,Double Turn
639,483,1,28,Double Turn
554,545,0,26,Single Turn
655,324,3,24,Double Turn
390,247,4,28,Half Turn
638,317,2,24,Not Recommended
319,750,3,31,Single Turn
197,415,-1,27,Half Turn
459,383,6,22,Not Recommended
766,444,2,24,Not Recommended
450,451,2,29,Not Recommended
542,383,11,26,Not Recommended
432,450,2,21,Single Turn
240,384,14,26,Half Turn
